;codigo_municipio_completo;ANO;MUNICIPIO;ESTADO;HOMICÍDIO DOLOSO (2);Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO OUTROS;TENTATIVA DE HOMICÍDIO;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL CULPOSA - OUTRAS;LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;TOTAL DE ESTUPRO (4);ESTUPRO;ESTUPRO DE VULNERÁVEL;TOTAL DE ROUBO - OUTROS (1);ROUBO - OUTROS;ROUBO DE VEÍCULO;ROUBO A BANCO;ROUBO DE CARGA;FURTO - OUTROS;FURTO DE VEÍCULO
3267;3500105;2020;Adamantina;São Paulo;0;0;0;0;0;0;2;0;164;145;2;0;0;5;1;4;2;2;1;0;0;115;5
3268;3500105;2019;Adamantina;São Paulo;2;2;0;0;0;1;0;0;127;167;4;0;0;11;4;7;3;3;0;0;0;151;3
3269;3500105;2018;Adamantina;São Paulo;2;2;0;0;1;0;1;0;151;171;5;0;0;8;5;3;6;6;0;0;0;170;12
3270;3500105;2017;Adamantina;São Paulo;1;1;0;0;2;0;2;0;166;171;5;0;0;3;1;2;6;6;1;0;0;206;10
3271;3500105;2016;Adamantina;São Paulo;1;1;0;0;2;0;5;0;171;191;9;0;0;6;Dado faltando;1;4;Dado faltando;0;0;0;222;16
3272;3500105;2015;Adamantina;São Paulo;0;0;0;0;3;0;1;Dado faltando;173;223;13;0;0;3;0;Dado faltando;3;Dado faltando;1;0;0;245;18
3273;3500105;2014;Adamantina;São Paulo;1;1;0;0;2;0;3;Dado faltando;213;250;5;0;0;6;Dado faltando;Dado faltando;5;Dado faltando;1;0;0;258;8
3274;3500105;2013;Adamantina;São Paulo;0;0;0;0;3;0;6;Dado faltando;198;273;11;0;0;9;Dado faltando;Dado faltando;13;Dado faltando;0;0;0;272;7
3275;3500105;2012;Adamantina;São Paulo;0;0;0;0;3;0;2;Dado faltando;189;221;14;0;0;7;Dado faltando;Dado faltando;6;Dado faltando;1;0;0;245;11
3276;3500105;2011;Adamantina;São Paulo;0;0;Dado faltando;Dado faltando;3;1;1;Dado faltando;189;188;12;0;0;5;Dado faltando;Dado faltando;11;Dado faltando;0;0;0;245;10
